"Method";"Path";"Parameters"
"GET";"/timeline/bucket";"albumId(False,query),isArchived(False,query),isFavorite(False,query),isTrashed(False,query),key(False,query),order(False,query),personId(False,query),size(True,query),timeBucket(True,query),userId(False,query),withPartners(False,query),withStacked(False,query)"
"GET";"/timeline/buckets";"albumId(False,query),isArchived(False,query),isFavorite(False,query),isTrashed(False,query),key(False,query),order(False,query),personId(False,query),size(True,query),userId(False,query),withPartners(False,query),withStacked(False,query)"
"POST";"/trash/empty";""
"POST";"/trash/restore";""
"POST";"/trash/restore/assets";""
"GET";"/users";""
"GET";"/users/me";""
"PUT";"/users/me";""
"GET";"/users/me/preferences";""
"PUT";"/users/me/preferences";""
"DELETE";"/users/profile-image";""
"POST";"/users/profile-image";""
"GET";"/users/{id}";"id(True,path)"
"GET";"/users/{id}/profile-image";"id(True,path)"
"GET";"/activities";""
"POST";"/activities";""
"GET";"/activities/statistics";""
"GET";"/activities";""
"POST";"/activities";""
"GET";"/activities/statistics";""
"DELETE";"/activities/{id}";""
"GET";"/admin/users";""
"POST";"/admin/users";""
"DELETE";"/admin/users/{id}";""
"GET";"/admin/users/{id}";""
"PUT";"/admin/users/{id}";""
"GET";"/admin/users/{id}/preferences";""
"PUT";"/admin/users/{id}/preferences";""
"POST";"/admin/users/{id}/restore";""
"GET";"/albums";""
"POST";"/albums";""
"GET";"/albums/count";""
"DELETE";"/albums/{id}";""
"GET";"/albums/{id}";""
"PATCH";"/albums/{id}";""
"DELETE";"/albums/{id}/assets";""
"PUT";"/albums/{id}/assets";""
"DELETE";"/albums/{id}/user/{userId}";""
"PUT";"/albums/{id}/user/{userId}";""
"PUT";"/albums/{id}/users";""
"GET";"/api-keys";""
"POST";"/api-keys";""
"DELETE";"/api-keys/{id}";""
"GET";"/api-keys/{id}";""
"PUT";"/api-keys/{id}";""
"DELETE";"/assets";""
"POST";"/assets";""
"PUT";"/assets";""
"POST";"/assets/bulk-upload-check";""
"GET";"/assets/device/{deviceId}";""
"POST";"/assets/exist";""
"POST";"/assets/jobs";""
"GET";"/assets/memory-lane";""
"GET";"/assets/random";""
"PUT";"/assets/stack/parent";""
"GET";"/assets/statistics";""
"GET";"/assets/{id}";""
"PUT";"/assets/{id}";""
"GET";"/assets/{id}/original";""
"PUT";"/assets/{id}/original";""
"GET";"/assets/{id}/thumbnail";""
"GET";"/assets/{id}/video/playback";""
"GET";"/audit/deletes";""
"POST";"/auth/admin-sign-up";""
"POST";"/auth/change-password";""
"POST";"/auth/login";""
"POST";"/auth/logout";""
"POST";"/auth/validateToken";""
"POST";"/download/archive";""
"POST";"/download/info";""
"GET";"/duplicates";""
"GET";"/faces";""
"PUT";"/faces/{id}";""
"GET";"/jobs";""
"PUT";"/jobs/{id}";""
"GET";"/libraries";""
"POST";"/libraries";""
"DELETE";"/libraries/{id}";""
"GET";"/libraries/{id}";""
"PUT";"/libraries/{id}";""
"POST";"/libraries/{id}/removeOffline";""
"POST";"/libraries/{id}/scan";""
"GET";"/libraries/{id}/statistics";""
"POST";"/libraries/{id}/validate";""
"GET";"/map/markers";""
"GET";"/map/style.json";""
"GET";"/memories";""
"POST";"/memories";""
"DELETE";"/memories/{id}";""
"GET";"/memories/{id}";""
"PUT";"/memories/{id}";""
"DELETE";"/memories/{id}/assets";""
"PUT";"/memories/{id}/assets";""
"POST";"/notifications/test-email";""
"POST";"/oauth/authorize";""
"POST";"/oauth/callback";""
"POST";"/oauth/link";""
"GET";"/oauth/mobile-redirect";""
"POST";"/oauth/unlink";""
"GET";"/partners";""
"DELETE";"/partners/{id}";""
"POST";"/partners/{id}";""
"PUT";"/partners/{id}";""
"GET";"/people";""
"POST";"/people";""
"PUT";"/people";""
"GET";"/people/{id}";""
"PUT";"/people/{id}";""
"GET";"/people/{id}/assets";""
"POST";"/people/{id}/merge";""
"PUT";"/people/{id}/reassign";""
"GET";"/people/{id}/statistics";""
"GET";"/people/{id}/thumbnail";""
"GET";"/reports";""
"POST";"/reports/checksum";""
"POST";"/reports/fix";""
"GET";"/search/cities";""
"GET";"/search/explore";""
"POST";"/search/metadata";""
"GET";"/search/person";""
"GET";"/search/places";""
"POST";"/search/smart";""
"GET";"/search/suggestions";""
"GET";"/server-info/config";""
"GET";"/server-info/features";""
"GET";"/server-info/media-types";""
"GET";"/server-info/ping";""
