"Method","Path","Status","FolderStatus","CoveredBy","OperationId","Tags","SuggestedFolder","ActualFolders","FolderMismatch","Covered","Skipped","Deprecated","SkipReason","Description","Parameters"
"PUT","/api-keys/{id}","Covered","OK","Rename-IMAPIKey","updateApiKey","API Keys","APIKey","APIKey","False","True","False","False",,"This endpoint requires the `apiKey.update` permission.",""
"DELETE","/assets","Covered","OK","Remove-IMAsset","deleteAssets","Assets","Asset","Asset","False","True","False","False",,"This endpoint requires the `asset.delete` permission.",""
"POST","/assets","Covered","OK","Import-IMAsset","uploadAsset","Assets","Asset","","False","True","False","False",,"This endpoint requires the `asset.upload` permission.",""
"PUT","/assets","Covered","OK","Set-IMAsset","updateAssets","Assets","Asset","Asset","False","True","False","False",,"This endpoint requires the `asset.update` permission.",""
"POST","/assets/bulk-upload-check","Skipped","N/A","","checkBulkUpload","Assets","Asset","","False","False","True","False","Mobile app specific","Checks if assets exist by checksums. This endpoint requires the `asset.upload` permission.",""
"PUT","/assets/copy","Missing","N/A","","copyAsset","Assets","Asset","","False","False","False","False",,"This endpoint requires the `asset.copy` permission.",""
"GET","/assets/device/{deviceId}","Covered","OK","Get-IMAsset","getAllUserAssetsByDeviceId","Assets","Asset","Asset","False","True","False","False",,"Get all asset of a device that are in the database, ID only.",""
"POST","/assets/exist","Skipped","N/A","","checkExistingAssets","Assets","Asset","","False","False","True","False","Bulk operation - unclear usage","Checks if multiple assets exist on the server and returns all existing - used by background backup",""
"POST","/assets/jobs","Covered","OK","Start-IMVideoTranscode, Update-IMAssetMetadata, Update-IMAssetThumbnail","runAssetJobs","Assets","Asset","Asset","False","True","False","False",,,""
"GET","/assets/random","Deprecated","N/A","","getRandom","Assets, Deprecated","Asset","","False","False","False","True",,"This property was deprecated in v1.116.0. This endpoint requires the `asset.read` permission.",""
"GET","/assets/statistics","Covered","OK","Get-IMAssetStatistic","getAssetStatistics","Assets","Asset","Asset","False","True","False","False",,"This endpoint requires the `asset.statistics` permission.",""
