"Method","Path","Status","FolderStatus","CoveredBy","OperationId","Tags","SuggestedFolder","ActualFolders","FolderMismatch","Covered","Skipped","Deprecated","SkipReason","Description","Parameters"
"GET","/stacks","Missing","N/A","","searchStacks","Stacks","Stack","","False","False","False","False",,"This endpoint requires the `stack.read` permission.",""
"POST","/stacks","Missing","N/A","","createStack","Stacks","Stack","","False","False","False","False",,"This endpoint requires the `stack.create` permission.",""
"DELETE","/stacks/{id}","Missing","N/A","","deleteStack","Stacks","Stack","","False","False","False","False",,"This endpoint requires the `stack.delete` permission.",""
"GET","/stacks/{id}","Missing","N/A","","getStack","Stacks","Stack","","False","False","False","False",,"This endpoint requires the `stack.read` permission.",""
"PUT","/stacks/{id}","Missing","N/A","","updateStack","Stacks","Stack","","False","False","False","False",,"This endpoint requires the `stack.update` permission.",""
"DELETE","/stacks/{id}/assets/{assetId}","Missing","N/A","","removeAssetFromStack","Stacks","Stack","","False","False","False","False",,"This endpoint requires the `stack.update` permission.",""
"DELETE","/sync/ack","Missing","N/A","","deleteSyncAck","Sync","Server","","False","False","False","False",,"This endpoint requires the `syncCheckpoint.delete` permission.",""
"GET","/sync/ack","Missing","N/A","","getSyncAck","Sync","Server","","False","False","False","False",,"This endpoint requires the `syncCheckpoint.read` permission.",""
"POST","/sync/ack","Missing","N/A","","sendSyncAck","Sync","Server","","False","False","False","False",,"This endpoint requires the `syncCheckpoint.update` permission.",""
"POST","/sync/stream","Missing","N/A","","getSyncStream","Sync","Server","","False","False","False","False",,"This endpoint requires the `sync.stream` permission.",""
"GET","/system-metadata/version-check-state","Missing","N/A","","getVersionCheckState","System Metadata","Server","","False","False","False","False",,"This endpoint is an admin-only route, and requires the `systemMetadata.read` permission.",""
"GET","/users","Missing","N/A","","searchUsers","Users","User","","False","False","False","False",,"This endpoint requires the `user.read` permission.",""
"PUT","/users/me","Missing","N/A","","updateMyUser","Users","User","","False","False","False","False",,"This endpoint requires the `user.update` permission.",""
"DELETE","/users/me/license","Missing","N/A","","deleteUserLicense","Users","User","","False","False","False","False",,"This endpoint requires the `userLicense.delete` permission.",""
"GET","/users/me/license","Missing","N/A","","getUserLicense","Users","User","","False","False","False","False",,"This endpoint requires the `userLicense.read` permission.",""
"PUT","/users/me/license","Missing","N/A","","setUserLicense","Users","User","","False","False","False","False",,"This endpoint requires the `userLicense.update` permission.",""
"DELETE","/users/me/onboarding","Missing","N/A","","deleteUserOnboarding","Users","User","","False","False","False","False",,"This endpoint requires the `userOnboarding.delete` permission.",""
"GET","/users/me/onboarding","Missing","N/A","","getUserOnboarding","Users","User","","False","False","False","False",,"This endpoint requires the `userOnboarding.read` permission.",""
"PUT","/users/me/onboarding","Missing","N/A","","setUserOnboarding","Users","User","","False","False","False","False",,"This endpoint requires the `userOnboarding.update` permission.",""
"PUT","/users/me/preferences","Missing","N/A","","updateMyPreferences","Users","User","","False","False","False","False",,"This endpoint requires the `userPreference.update` permission.",""
"POST","/users/profile-image","Missing","N/A","","createProfileImage","Users","User","","False","False","False","False",,"This endpoint requires the `userProfileImage.update` permission.",""
"GET","/view/folder","Missing","N/A","","getAssetsByOriginalPath","View","Asset","","False","False","False","False",,,""
"GET","/view/folder/unique-paths","Missing","N/A","","getUniqueOriginalPaths","View","Asset","","False","False","False","False",,,""
