"Method";"Path";"Parameters"
"GET";"/system-config/map/style.json";"theme(True,query)"
"GET";"/system-config/storage-template-options";""
"GET";"/tag";""
"POST";"/tag";""
"DELETE";"/tag/{id}";"id(True,path)"
"GET";"/tag/{id}";"id(True,path)"
"PATCH";"/tag/{id}";"id(True,path)"
"DELETE";"/tag/{id}/assets";"id(True,path)"
"GET";"/tag/{id}/assets";"id(True,path)"
"PUT";"/tag/{id}/assets";"id(True,path)"
"POST";"/trash/empty";""
"POST";"/trash/restore";""
"POST";"/trash/restore/assets";""
"GET";"/user";"isAll(True,query)"
"POST";"/user";""
"PUT";"/user";""
"GET";"/user/info/{id}";"id(True,path)"
"GET";"/user/me";""
"DELETE";"/user/profile-image";""
"POST";"/user/profile-image";""
"GET";"/user/profile-image/{id}";"id(True,path)"
"DELETE";"/user/{id}";"id(True,path)"
"POST";"/user/{id}/restore";"id(True,path)"
